,Name,LTP,P/E,Debt_to_equity,ESP,BVPS,Net_Profit(RS.cr),DSP(RS.),NPM%,ROE%,Category,Status
106,IOC,128.45,3.9,0.97,23.57,122.88,20565.0,12.0,5.65,19.34,NIFTY_INFRA,profit
107,IGL,497.1,30.59,0.0,16.75,90.49,1046.0,3.6,19.24,18.51,NIFTY_INFRA,profit
108,INDUS TOWERS,288.4,13.98,0.44,17.52,58.91,2912.0,20.12,20.87,23.8,NIFTY_INFRA,profit
109,Interglobe Avi,2332.0,-10.82,23.87,-150.89,2.73,-5806.0,0.0,-39.65,-5530.98,NIFTY_INFRA,loss
110,Larsen,1952.9,17.2,1.73,82.49,625.97,4668.0,36.0,9.49,15.26,NIFTY_INFRA,profit
111,MRF,79374.15,0.0,0.13,3011.14,31636.34,1277.0,150.0,7.9,9.52,NIFTY_INFRA,profit
112,NTPC,136.45,7.17,1.57,14.87,133.31,14285.0,6.15,12.8,11.63,NIFTY_INFRA,profit
113,ONGC,157.4,7.91,0.5,12.92,192.84,20324.0,3.6,6.68,7.35,NIFTY_INFRA,profit
114,Petronet LNG,228.05,11.47,0.0,19.59,78.71,2920.0,11.5,11.22,24.89,NIFTY_INFRA,profit
115,Power Grid Corp,191.05,7.03,1.87,23.01,133.68,11821.0,12.0,29.82,17.21,NIFTY_INFRA,profit
116,Reliance,2464.0,26.23,0.32,76.37,1240.39,53223.0,7.0,11.39,7.01,NIFTY_INFRA,profit
117,Shree Cements,27691.05,46.51,0.12,633.54,4281.75,2289.0,60.0,16.98,14.84,NIFTY_INFRA,profit
118,Siemens,2353.35,0.0,0.0,21.59,266.63,769.0,7.0,7.72,8.09,NIFTY_INFRA,profit
119,Tata Power,249.9,32.57,1.85,3.17,74.32,611.0,1.55,1.74,5.41,NIFTY_INFRA,profit
120,Ramco Cements,1021.9,29.49,0.54,34.0,243.24,763.0,3.0,14.43,13.67,NIFTY_INFRA,profit
121,UltraTechCement,7857.7,35.58,0.4,189.4,1530.59,5316.0,37.0,12.2,12.36,NIFTY_INFRA,profit
122,Aarti Ind,987.2,21.93,0.71,30.04,201.71,535.0,3.0,11.87,14.94,NIFTY_COMMODITIES,profit
123,ACC,2471.55,0.0,0.01,76.16,675.69,1421.0,14.0,10.3,11.26,NIFTY_COMMODITIES,profit
124,Adani Green Ene,1313.5,1624.78,27.22,0.68,5.03,176.0,0.0,5.63,24.39,NIFTY_COMMODITIES,profit
125,Ambuja Cements,409.15,0.0,0.0,11.91,146.54,3092.0,18.0,12.61,10.39,NIFTY_COMMODITIES,profit
126,Atul,9048.75,32.03,0.03,221.17,1302.65,652.0,20.0,17.49,17.13,NIFTY_COMMODITIES,profit
127,BPCL,413.8,5.23,0.75,81.87,255.89,17645.0,79.0,7.66,30.18,NIFTY_COMMODITIES,profit
128,Coal India,156.1,6.32,0.16,20.61,59.97,12705.0,16.0,14.11,34.77,NIFTY_COMMODITIES,profit
