,Name,LTP,%Chg,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty,Open,Prev.Close,
64,Max Financial,973.55,0.92,"1,248,970",973.55,0.00,728,0,956.30,964.65,
65,Mindtree,"4,914.10",0.53,"1,133,014",0.00,"4,914.10",0,"3,298","4,949.00","4,888.05",
66,MphasiS,"3,353.40",0.15,"773,128","3,353.40",0.00,121,0,"3,405.00","3,348.25",
67,Natco Pharma,828.70,0.55,"377,907",828.70,0.00,702,0,816.00,824.15,
68,Navin Fluorine,"3,531.95",-1.79,"197,173",0.00,"3,531.95",0,397,"3,618.00","3,596.40",
69,Nippon,422.25,0.37,"398,907",422.25,0.00,179,0,424.95,420.70,
70,Oberoi Realty,974.05,1.76,"1,114,116",974.05,0.00,145,0,967.65,957.25,
71,Oil India,221.90,2.42,"2,027,151",221.90,0.00,232,0,223.10,216.65,
72,Page Industries,"40,439.95",0.63,"60,777",0.00,"40,439.95",0,40,"40,399.00","40,186.95",
73,Pfizer,"5,129.50",-0.21,"13,231",0.00,"5,129.50",0,7,"5,183.85","5,140.30",
74,PI Industries,"2,737.85",-0.42,"262,891","2,737.85",0.00,161,0,"2,769.90","2,749.30",
75,Polycab,"2,517.45",0.72,"252,131",0.00,"2,517.45",0,657,"2,514.00","2,499.40",
76,Power Finance,138.10,-1.00,"4,692,840",138.10,0.00,"28,696",0,140.50,139.50,
77,Prestige Estate,510.55,3.00,"2,044,643",0.00,510.55,0,"18,867",484.00,495.70,
78,RBL Bank,211.20,-0.19,"5,853,095",211.20,0.00,48,0,212.75,211.60,
79,REC,145.65,-2.77,"6,632,523",0.00,145.65,0,72,150.90,149.80,
80,Sanofi India,"8,290.35",3.34,"17,339","8,290.35",0.00,56,0,"8,035.00","8,022.35",
81,Shriram Trans,"1,622.40",-0.85,"1,102,283",0.00,"1,622.40",0,99,"1,646.90","1,636.30",
82,SRF,"2,154.90",1.38,"1,747,671","2,154.90",0.00,286,0,"2,159.00","2,125.60",
83,SAIL,117.50,0.43,"24,442,697",0.00,117.50,0,"71,622",118.00,117.00,
84,Sun TV Network,562.35,-0.87,"1,004,838",0.00,562.35,0,"6,759",566.90,567.30,
85,Syngene Intl,554.65,1.66,"534,248",0.00,554.65,0,548,548.00,545.60,
86,Tata Chemicals,935.85,1.13,"1,193,780",935.85,0.00,476,0,930.00,925.35,
