,Name,LTP,P/E,Debt_to_equity,ESP,BVPS,Net_Profit(RS.cr),DSP(RS.),NPM%,ROE%,Category,Status,Profit_status
155,Berger Paints,792.15,103.24,0.11,7.41,34.84,725.0,2.8,10.63,21.31,NIFTY_CONSUMPTION,Expect_good_grouwth,marginal_profit
156,Bharti Airtel,720.05,-18.36,2.2,-27.65,147.9,-23327.0,0.0,-12.19,-25.58,NIFTY_CONSUMPTION,Least potential,Loss
157,Britannia,3615.05,46.82,0.59,77.43,148.78,1849.0,157.5,14.08,52.53,NIFTY_CONSUMPTION,Expect_decent_grouwth,Decent_Profit
158,Colgate,1484.15,40.96,0.0,38.07,42.86,1035.0,38.0,21.38,88.8,NIFTY_CONSUMPTION,Expect_decent_grouwth,Decent_Profit
159,CG Consumer,458.45,39.93,0.15,9.83,30.77,616.0,5.5,12.83,31.92,NIFTY_CONSUMPTION,Expect_decent_grouwth,Decent_Profit
160,Dabur India,608.0,56.42,0.06,9.58,43.57,1695.0,4.75,17.76,22.09,NIFTY_CONSUMPTION,Expect_good_grouwth,Decent_Profit
161,Eicher Motors,2674.2,52.82,0.01,49.3,418.52,1315.0,17.0,15.08,11.77,NIFTY_CONSUMPTION,Expect_good_grouwth,Decent_Profit
162,Godrej Consumer,921.65,43.35,0.08,16.83,92.31,1720.0,0.0,15.6,18.23,NIFTY_CONSUMPTION,Expect_decent_grouwth,Decent_Profit
163,Havells India,1375.25,62.97,0.08,16.68,82.69,1044.0,6.5,9.98,20.17,NIFTY_CONSUMPTION,Expect_good_grouwth,marginal_profit
164,Hero Motocorp,2749.35,19.95,0.02,146.07,778.76,2982.0,105.0,9.63,18.92,NIFTY_CONSUMPTION,Expect_decent_grouwth,marginal_profit
165,HUL,2391.15,71.45,0.0,34.03,202.95,8000.0,31.0,17.0,16.77,NIFTY_CONSUMPTION,Expect_good_grouwth,Decent_Profit
166,Info Edge,6545.0,38.39,0.0,111.51,430.92,1620.0,0.0,144.68,25.77,NIFTY_CONSUMPTION,Expect_decent_grouwth,huge_profit
167,Interglobe Avi,2332.0,-10.82,23.87,-150.89,2.73,-5806.0,0.0,-39.65,-5530.98,NIFTY_CONSUMPTION,Least potential,Loss
168,ITC,239.5,20.42,0.0,10.7,49.31,13389.0,10.75,27.17,21.8,NIFTY_CONSUMPTION,Expect_decent_grouwth,Decent_Profit
169,Jubilant Food,3922.25,165.87,0.0,17.55,108.83,230.0,6.0,6.96,16.23,NIFTY_CONSUMPTION,Expect_good_grouwth,marginal_profit
170,M&M,954.45,48.7,1.43,16.33,456.2,2425.0,8.75,0.31,4.35,NIFTY_CONSUMPTION,Expect_decent_grouwth,marginal_profit
171,Marico,551.75,45.3,0.11,9.08,25.26,1201.0,7.5,14.92,36.17,NIFTY_CONSUMPTION,Expect_decent_grouwth,Decent_Profit
