,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
78,Godrej Consumer,921.65,43.35,0.08,16.83,92.31,"1,720.00",0.00,15.60,18.23,NIFTY,FMCG,,,,
79,HUL,"2,391.15",71.45,0.00,34.03,202.95,"8,000.00",31.00,17.00,16.77,NIFTY,FMCG,,,,
80,ITC,239.50,20.42,0.00,10.70,49.31,"13,389.00",10.75,27.17,21.80,NIFTY,FMCG,,,,
81,Jubilant Food,"3,922.25",165.87,0.00,17.55,108.83,230.00,6.00,6.96,16.23,NIFTY,FMCG,,,,
82,Marico,551.75,45.30,0.11,9.08,25.26,"1,201.00",7.50,14.92,36.17,NIFTY,FMCG,,,,
83,Nestle,"19,477.05",0.00,0.02,215.98,209.43,"2,082.00",200.00,15.59,103.12,NIFTY,FMCG,,,,
84,P and G,"15,042.00",0.00,0.00,200.80,220.05,651.00,235.00,18.23,91.25,NIFTY,FMCG,,,,
85,TATA,Cons.,Prod,836.40,68.70,0.05,9.30,169.33,993.00,4.05,8.56,5.90,NIFTY,FMCG,,
86,United Brewerie,"1,655.75",290.06,0.03,4.28,135.63,113.00,0.50,2.68,3.16,NIFTY,FMCG,,,,
87,United Spirits,928.35,102.84,0.21,5.41,55.87,363.00,0.00,4.46,9.31,NIFTY,FMCG,,,,
88,Varun Beverages,930.75,0.00,0.76,11.40,124.31,423.00,2.50,6.57,9.33,NIFTY,FMCG,,,,
89,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,NIFTY,METAL,
90,Adani Enterpris,"1,706.45",122.90,0.89,8.39,171.94,746.00,1.00,1.88,5.37,NIFTY,METAL,,,,
91,APL Apollo,907.90,24.23,0.26,28.91,146.75,407.00,0.00,4.79,21.25,NIFTY,METAL,,,,
92,Coal India,156.10,6.32,0.16,20.61,59.97,"12,705.00",16.00,14.11,34.77,NIFTY,METAL,,,,
93,Hindalco,445.40,20.87,0.98,15.66,299.73,"5,177.00",3.00,2.63,5.23,NIFTY,METAL,,,,
94,Hind Zinc,332.65,14.45,0.20,18.89,76.48,"7,980.00",21.30,35.26,24.69,NIFTY,METAL,,,,
95,Jindal Steel,381.90,9.64,0.68,35.63,303.30,"5,526.00",0.00,10.94,11.42,NIFTY,METAL,,,,
96,JSW Steel,662.35,14.23,1.11,32.91,152.80,"7,872.00",6.50,9.85,16.91,NIFTY,METAL,,,,
97,MOIL,173.90,20.24,0.00,7.44,118.82,176.00,7.40,15.00,6.26,NIFTY,METAL,,,,
98,NALCO,98.75,7.75,0.00,6.97,58.14,"1,299.00",3.50,14.51,12.16,NIFTY,METAL,,,,
99,NMDC,138.20,6.54,0.07,20.70,102.02,"6,247.00",7.76,40.64,21.00,NIFTY,METAL,,,,
100,Ratnamani Metal,"2,170.35",32.20,0.07,59.07,425.35,276.00,14.00,12.00,13.88,NIFTY,METAL,,,,
101,SAIL,113.65,8.45,0.82,9.32,105.30,"3,850.00",0.00,5.57,8.85,NIFTY,METAL,,,,
102,Tata Steel,"1,220.05",12.73,1.11,63.78,640.69,"7,862.00",25.00,5.03,10.19,NIFTY,METAL,,,,
103,Vedanta,338.20,7.30,0.80,31.32,208.11,"15,033.00",9.50,17.07,18.62,NIFTY,METAL,,,,
104,Welspun Corp,159.40,5.83,0.15,23.72,146.38,495.00,5.00,7.69,16.31,NIFTY,METAL,,,,
105,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,NIFTY,REALTY,
106,Brigade Ent,513.05,-124.04,1.71,-2.24,116.40,-98.00,0.00,-5.07,-1.98,NIFTY,REALTY,,,,
107,DLF,417.95,64.94,0.16,4.42,142.87,477.00,2.00,8.81,3.09,NIFTY,REALTY,,,,
108,Godrej Prop,"2,222.20",-188.07,0.54,-7.48,299.33,-73.00,0.00,-9.59,-2.27,NIFTY,REALTY,,,,
109,Hemisphere,138.55,-528.65,0.11,-0.26,13.22,-7.00,0.00,0.00,-1.97,NIFTY,REALTY,,,,
110,Indiabulls Real,180.55,-132.76,-,-,-,-,-,-,-,NIFTY,REALTY,,,,
111,Oberoi Realty,957.35,28.29,0.16,20.33,257.68,736.00,0.00,35.85,7.89,NIFTY,REALTY,,,,
112,Phoenix Mills,"1,084.55",243.95,0.75,3.20,360.96,33.00,1.00,3.15,1.07,NIFTY,REALTY,,,,
113,Prestige Estate,466.25,8.41,0.54,36.32,176.98,"1,577.00",1.50,21.70,21.81,NIFTY,REALTY,,,,
114,Sobha,867.55,63.23,1.26,6.91,241.14,65.00,3.50,3.05,2.86,NIFTY,REALTY,,,,
115,Sunteck Realty,480.40,94.09,0.24,2.98,197.46,41.00,1.50,6.77,1.51,NIFTY,REALTY,,,,
116,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,NIFTY,MEDIA,
117,DB Corp,99.80,11.12,0.03,8.08,104.19,141.00,3.00,9.37,7.75,NIFTY,MEDIA,,,,
118,Dish TV,17.35,-1.51,0.18,-6.12,14.27,"-1,189.00",0.00,-36.61,-43.82,NIFTY,MEDIA,,,,
119,INOX Leisure,426.30,-8.85,0.11,-32.22,56.27,-337.00,0.00,-318.74,-53.34,NIFTY,MEDIA,,,,
120,JagranPrakashan,66.30,18.59,0.13,3.16,79.64,78.00,0.00,6.05,4.45,NIFTY,MEDIA,,,,
121,Network,18,83.70,-79.71,-,-,-,-,-,-,-,NIFTY,MEDIA,,,
122,PVR,"1,737.65",-9.04,0.60,-135.64,301.74,-747.00,0.00,-266.99,-40.78,NIFTY,MEDIA,,,,
123,Sun TV Network,554.15,12.15,0.00,38.70,179.12,"1,531.00",5.00,48.21,21.62,NIFTY,MEDIA,,,,
124,TV TodayNetwork,404.25,12.04,0.00,22.04,166.03,131.00,2.50,16.79,13.27,NIFTY,MEDIA,,,,
