,Name,LTP,%Chg,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty,Open,Prev.Close,,
84,Cadila Health,492.60,0.13,"1,229,164",492.60,0.00,255,0,492.50,491.95,,
85,Can Fin Homes,650.20,1.72,"543,969",650.20,0.00,51,0,643.60,639.20,,
86,Canara Bank,230.80,-0.35,"15,085,718",230.80,0.00,2,0,233.00,231.60,,
87,Caplin Labs,862.60,1.17,"70,935",862.60,0.00,386,0,854.90,852.60,,
88,Capri Global,521.85,-0.85,"56,947",521.85,0.00,140,0,526.30,526.30,,
89,Carborundum,916.10,0.59,"448,984",0.00,916.10,0,"1,158",919.70,910.70,,
90,Castrol,136.30,-1.02,"486,617",136.30,0.00,232,0,138.60,137.70,,
91,CCL Products,389.35,1.17,"341,123",0.00,389.35,0,49,395.30,384.85,,
92,Ceat,"1,259.10",-0.20,"45,311",0.00,"1,259.10",0,181,"1,259.05","1,261.65",,
93,Central Bank,21.85,0.00,"1,895,495",21.85,0.00,"6,061",0,22.00,21.85,,
94,CDSL,"1,485.00",1.82,"579,130",0.00,"1,485.00",0,14,"1,460.00","1,458.45",,
95,CenturyPlyboard,679.40,0.72,"320,920",0.00,679.40,0,165,675.00,674.55,,
96,Century,869.55,0.27,"276,525",0.00,869.55,0,423,870.00,867.25,,
97,Cera Sanitary,"5,414.90",-0.31,"2,040",0.00,"5,414.90",0,5,"5,406.00","5,431.80",,
98,CESC,90.60,-0.93,"2,498,012",90.60,0.00,"8,261",0,91.70,91.45,,
99,Chalet Hotels,278.85,8.33,"1,165,399",278.85,0.00,"46,669",0,258.90,257.40,,
100,Chambal Fert,345.30,-1.85,"385,654",345.30,0.00,48,0,352.70,351.80,,
101,Chola Fin Hold,713.95,1.99,"37,668",713.95,0.00,25,0,710.00,700.00,,
102,Chola,Invest.,662.40,3.58,"3,233,137",662.40,0.00,"181,396",0,644.90,639.50,
103,Cipla,915.95,1.22,"936,613",0.00,915.95,0,"1,147",910.80,904.90,,
104,City Union Bank,163.85,-0.40,"1,912,776",163.85,0.00,45,0,164.75,164.50,,
105,Coal India,166.95,-0.03,"7,027,513",166.95,0.00,"156,251",0,168.85,167.00,,
106,Cochin Shipyard,371.80,-0.61,"679,635",0.00,371.80,0,"1,744",378.00,374.10,,
107,COFORGE,LTD.,"5,418.00",0.78,"244,516",0.00,"5,418.00",0,165,"5,431.00","5,376.20",
108,Colgate,"1,522.90",-0.93,"430,703","1,522.90",0.00,511,0,"1,539.00","1,537.20",,
109,CAMS,"2,997.05",-0.08,"93,971",0.00,"2,997.05",0,75,"3,020.00","2,999.45",,
110,Container Corp,687.20,0.30,"688,301",0.00,687.20,0,498,688.00,685.15,,
111,Coromandel Int,790.90,-0.54,"699,888",790.90,0.00,828,0,798.00,795.20,,
112,CreditAccess Gr,604.70,0.37,"95,454",604.70,0.00,20,0,606.90,602.50,,
113,CRISIL,"3,175.35",1.04,"309,193","3,175.35",0.00,108,0,"3,140.00","3,142.65",,
114,CG Consumer,466.25,1.49,"1,254,461",466.25,0.00,9,0,463.00,459.40,,
115,CSB Bank,290.05,-2.01,"175,740",0.00,290.05,0,871,296.00,296.00,,
116,Cummins,922.85,0.62,"398,802",0.00,922.85,0,"1,448",924.95,917.20,,
117,Cyient,"1,099.80",-0.42,"173,030",0.00,"1,099.80",0,60,"1,116.00","1,104.40",,
118,Dabur India,602.45,0.58,"2,304,135",0.00,602.45,0,278,602.00,599.00,,
119,Dalmia Bharat,"2,141.95",1.01,"167,057","2,141.95",0.00,43,0,"2,121.00","2,120.50",,
120,DCB Bank,102.50,-0.39,"834,020",102.50,0.00,120,0,103.00,102.90,,
121,DCM Shriram,"1,027.40",0.10,"59,027",0.00,"1,027.40",0,407,"1,035.00","1,026.40",,
122,Deepak Nitrite,"2,354.25",0.41,"388,117","2,354.25",0.00,437,0,"2,356.40","2,344.65",,
123,Delta Corp,298.10,0.91,"3,796,270",0.00,298.10,0,12,296.85,295.40,,
124,Dhani Services,177.45,-1.55,"1,580,681",177.45,0.00,"2,184",0,180.50,180.25,,
125,Dhanuka Agritec,765.80,-1.86,"22,135",0.00,0.00,0,0,784.30,780.35,,
126,Dilip Buildcon,628.55,7.62,"882,434",628.55,0.00,"14,549",0,586.95,584.05,,
127,Dish TV,16.95,0.30,"1,481,878",16.95,0.00,"3,639",0,16.95,16.90,,
128,Dishman Carboge,216.50,1.60,"304,478",216.50,0.00,"1,110",0,214.70,213.10,,
129,Divis Labs,"4,843.80",0.22,"356,046","4,843.80",0.00,223,0,"4,895.45","4,833.25",,
130,Dixon Technolog,"5,405.85",0.43,"326,988",0.00,"5,405.85",0,302,"5,435.00","5,382.65",,
131,DLF,428.35,2.97,"5,871,736",0.00,428.35,0,"4,475",418.50,416.00,,
132,Dr Lal PathLab,"3,636.00",1.79,"91,471","3,636.00",0.00,89,0,"3,580.00","3,572.00",,
133,Dr Reddys Labs,"4,843.25",0.59,"233,342",0.00,"4,843.25",0,45,"4,850.00","4,814.95",,
134,eClerx Services,"2,367.25",-0.26,"43,492","2,367.25",0.00,1,0,"2,389.70","2,373.45",,
135,Edelweiss,79.80,-0.81,"953,928",0.00,79.80,0,478,80.75,80.45,,
136,Eicher Motors,"2,723.00",0.69,"879,209",0.00,"2,723.00",0,117,"2,725.00","2,704.35",,
137,EID Parry,503.90,-0.26,"245,040",503.90,0.00,186,0,508.90,505.20,,
138,EIH,142.50,-2.93,"424,589",0.00,142.50,0,"1,713",146.50,146.80,,
139,Elgi Equipments,214.50,0.14,"100,788",0.00,214.50,0,135,214.00,214.20,,
140,Emami,556.55,2.70,"774,967",0.00,556.55,0,752,542.40,541.90,,
141,Endurance Techn,"1,816.75",-5.20,"259,045",0.00,"1,816.75",0,222,"1,865.00","1,916.45",,
